listener_id,age,country,platform,subscription,top_genre,top_artist,daily_listening_minutes,songs_per_day,playlists_count,skip_rate_pct,discover_weekly_user,top_mood,uses_offline_mode,podcasts_too
45,22,Brazil,Spotify,Premium,R&B,Dua Lipa,100,24,4,36.6,FALSE,Focus,TRUE,TRUE
46,37,India,YouTube Music,Premium,Classical,Drake,80,19,8,0,TRUE,Sad,TRUE,TRUE
47,28,France,Apple Music,Family,Pop,Dua Lipa,282,84,10,23.2,TRUE,Happy,TRUE,FALSE
48,35,Germany,Apple Music,Premium,Classical,Bad Bunny,123,49,9,32.2,TRUE,Sad,FALSE,FALSE
49,23,France,YouTube Music,Premium,Rock,The Weeknd,141,36,4,44.4,TRUE,Party,FALSE,TRUE
50,26,Nigeria,Spotify,Family,Hip-Hop,Olivia Rodrigo,182,48,7,5.4,FALSE,Chill,TRUE,FALSE
51,32,Australia,Spotify,Student,Country,Olivia Rodrigo,77,21,8,23.9,FALSE,Focus,TRUE,TRUE
52,27,India,Spotify,Free,Pop,Dua Lipa,99,31,11,43.2,TRUE,Happy,FALSE,TRUE
53,14,Australia,Spotify,Free,Pop,Taylor Swift,156,35,6,19.9,TRUE,Focus,FALSE,TRUE
54,42,India,Spotify,Free,EDM,Drake,60,22,9,15.6,TRUE,Chill,FALSE,FALSE
55,31,Germany,Apple Music,Student,EDM,Kendrick Lamar,89,30,15,40.8,FALSE,Workout,FALSE,TRUE
56,43,France,Apple Music,Student,Pop,Kendrick Lamar,267,72,8,32.5,FALSE,Sleep,FALSE,TRUE
57,22,Canada,Apple Music,Premium,Pop,Bad Bunny,145,35,3,27.2,FALSE,Focus,TRUE,TRUE
58,13,India,Spotify,Premium,K-Pop,Billie Eilish,118,44,9,39.1,FALSE,Party,FALSE,TRUE
59,35,Canada,YouTube Music,Student,EDM,Burna Boy,63,23,6,40,TRUE,Chill,FALSE,FALSE
60,44,Japan,Apple Music,Free,Hip-Hop,Olivia Rodrigo,151,42,6,20.2,FALSE,Energetic,FALSE,FALSE
61,17,USA,SoundCloud,Free,Afrobeats,BTS,208,65,12,34.1,TRUE,Happy,TRUE,FALSE
62,21,Nigeria,Apple Music,Free,Lo-fi,Billie Eilish,62,13,13,32.6,FALSE,Party,TRUE,FALSE
63,34,Canada,Spotify,Student,Afrobeats,Burna Boy,53,22,10,15.3,TRUE,Energetic,TRUE,FALSE
64,29,Canada,Spotify,Free,Country,The Weeknd,91,23,13,27.7,TRUE,Focus,FALSE,TRUE
65,25,Nigeria,Spotify,Premium,Jazz,Travis Scott,217,66,9,21.3,TRUE,Energetic,TRUE,TRUE
66,30,USA,YouTube Music,Premium,Hip-Hop,Ariana Grande,131,35,10,23.1,TRUE,Chill,FALSE,FALSE
67,26,India,Spotify,Student,Pop,Ariana Grande,115,28,10,4.9,FALSE,Happy,FALSE,FALSE
68,39,Canada,Amazon Music,Premium,Hip-Hop,Burna Boy,254,77,15,19.5,TRUE,Chill,TRUE,FALSE
69,22,Australia,Spotify,Free,Rock,Dua Lipa,245,64,8,43.2,FALSE,Workout,FALSE,TRUE
70,34,Brazil,SoundCloud,Free,EDM,Ariana Grande,79,23,9,21.1,TRUE,Happy,FALSE,FALSE
71,14,USA,Spotify,Student,Jazz,Taylor Swift,240,75,6,33.3,TRUE,Happy,FALSE,FALSE
72,24,USA,YouTube Music,Free,Pop,Bad Bunny,73,24,12,35.4,FALSE,Sad,TRUE,FALSE
73,15,Nigeria,Apple Music,Free,Pop,Tyler the Creator,190,47,12,43.8,TRUE,Chill,TRUE,FALSE
74,35,Germany,YouTube Music,Free,Rock,Kendrick Lamar,36,15,9,35.9,TRUE,Sad,FALSE,TRUE
75,33,Japan,Spotify,Premium,Pop,Taylor Swift,106,34,9,24.4,FALSE,Party,TRUE,FALSE
76,39,Canada,SoundCloud,Free,Hip-Hop,The Weeknd,73,15,9,13.8,TRUE,Energetic,FALSE,TRUE
77,43,UK,YouTube Music,Family,EDM,BTS,55,10,7,32.1,TRUE,Happy,FALSE,FALSE
78,22,Japan,YouTube Music,Student,EDM,Travis Scott,76,23,14,21.7,FALSE,Party,TRUE,FALSE
79,23,Brazil,Apple Music,Premium,R&B,Bad Bunny,226,61,10,39.6,TRUE,Sleep,TRUE,TRUE
80,13,France,SoundCloud,Free,Indie,Travis Scott,72,12,7,12.1,FALSE,Sad,FALSE,TRUE
81,27,France,Spotify,Free,Rock,Olivia Rodrigo,98,23,6,22,TRUE,Sad,TRUE,TRUE
82,35,India,Spotify,Premium,Rock,Travis Scott,130,36,10,42.8,FALSE,Party,FALSE,TRUE
83,20,Australia,Spotify,Premium,Afrobeats,Burna Boy,98,32,14,29.5,FALSE,Party,FALSE,TRUE
84,20,Germany,Apple Music,Free,Rock,Travis Scott,103,30,3,23.4,TRUE,Party,TRUE,TRUE
85,20,Nigeria,Spotify,Premium,Indie,SZA,132,27,8,28.1,FALSE,Party,TRUE,FALSE
86,26,Germany,SoundCloud,Free,Classical,Kendrick Lamar,16,3,5,20.9,FALSE,Chill,TRUE,FALSE
87,39,UK,Spotify,Free,Pop,SZA,103,30,9,13.2,TRUE,Happy,FALSE,TRUE
88,35,Canada,Amazon Music,Family,Rock,Taylor Swift,181,57,10,7.3,TRUE,Chill,FALSE,FALSE
89,41,Japan,YouTube Music,Family,Indie,Drake,133,35,5,26.1,TRUE,Focus,FALSE,FALSE
90,16,France,Tidal,Free,Jazz,Taylor Swift,57,18,11,30.9,TRUE,Chill,FALSE,FALSE
91,21,UK,Spotify,Premium,Pop,Bad Bunny,109,33,10,31.5,FALSE,Sleep,FALSE,TRUE
92,31,Australia,YouTube Music,Premium,Jazz,Dua Lipa,55,12,9,47.5,FALSE,Party,TRUE,TRUE
93,20,Germany,Spotify,Free,Country,Tyler the Creator,374,104,12,24.9,FALSE,Sleep,TRUE,TRUE
94,28,Japan,Spotify,Student,Pop,BTS,265,79,11,30.3,TRUE,Energetic,TRUE,FALSE
95,32,Germany,Amazon Music,Free,Rock,BTS,60,12,4,1.6,TRUE,Sleep,TRUE,FALSE
96,33,India,Spotify,Premium,Lo-fi,Ariana Grande,37,7,7,21.1,FALSE,Sad,TRUE,TRUE
97,27,Nigeria,Spotify,Premium,R&B,Bad Bunny,74,27,12,23.8,FALSE,Party,FALSE,TRUE
98,19,USA,Spotify,Free,Indie,Kendrick Lamar,144,42,12,39.5,TRUE,Workout,FALSE,TRUE
99,18,Brazil,Spotify,Family,Hip-Hop,Dua Lipa,6,3,5,31.3,TRUE,Energetic,FALSE,FALSE
100,21,Brazil,Apple Music,Free,Afrobeats,Olivia Rodrigo,109,20,10,28.1,FALSE,Party,TRUE,FALSE
101,40,India,Spotify,Free,Rock,Ariana Grande,108,33,10,19.7,FALSE,Happy,FALSE,FALSE
102,41,France,Spotify,Premium,EDM,Tyler the Creator,176,46,4,24,FALSE,Sleep,FALSE,FALSE
103,41,Canada,Apple Music,Premium,EDM,Dua Lipa,228,60,15,24.7,FALSE,Party,FALSE,FALSE
104,25,Canada,Spotify,Student,Rock,Tyler the Creator,70,22,7,31.1,FALSE,Sad,TRUE,TRUE
105,13,USA,YouTube Music,Family,Classical,Ariana Grande,164,46,7,42.2,FALSE,Focus,TRUE,FALSE
106,25,Brazil,YouTube Music,Free,Indie,Tyler the Creator,142,40,6,13.8,FALSE,Energetic,FALSE,TRUE
107,23,Nigeria,Spotify,Premium,Rock,Billie Eilish,146,38,4,32.1,FALSE,Energetic,FALSE,TRUE
108,37,Brazil,YouTube Music,Free,Rock,The Weeknd,323,101,10,34.9,TRUE,Sleep,FALSE,FALSE
109,40,France,Amazon Music,Premium,Classical,Dua Lipa,28,11,8,23.4,TRUE,Sad,FALSE,FALSE
110,14,Germany,Apple Music,Family,Classical,Bad Bunny,149,42,10,21,FALSE,Workout,TRUE,FALSE
111,25,Canada,Apple Music,Premium,K-Pop,Bad Bunny,277,90,10,32.2,FALSE,Sleep,FALSE,TRUE
112,42,Canada,Spotify,Free,Pop,Olivia Rodrigo,180,50,11,24.9,TRUE,Energetic,TRUE,FALSE
113,22,Canada,Spotify,Free,Rock,Bad Bunny,106,36,14,48.9,TRUE,Energetic,FALSE,FALSE
114,29,USA,YouTube Music,Family,Indie,Burna Boy,64,19,10,7.6,FALSE,Chill,FALSE,TRUE
115,36,Canada,Spotify,Student,Jazz,Kendrick Lamar,69,21,5,23.7,FALSE,Party,TRUE,FALSE
116,35,Brazil,Spotify,Free,Pop,Burna Boy,105,29,4,25,FALSE,Workout,TRUE,TRUE
117,32,Canada,SoundCloud,Free,Afrobeats,Burna Boy,204,57,12,31.5,FALSE,Chill,TRUE,TRUE
118,24,Japan,Apple Music,Family,R&B,Tyler the Creator,39,11,18,47.6,TRUE,Happy,TRUE,FALSE
119,34,Nigeria,YouTube Music,Free,K-Pop,Tyler the Creator,257,69,9,37.6,FALSE,Party,FALSE,FALSE
120,17,UK,Spotify,Free,K-Pop,SZA,85,22,6,26.6,TRUE,Workout,FALSE,TRUE
121,43,UK,Spotify,Free,Lo-fi,Tyler the Creator,73,24,13,25.4,TRUE,Party,FALSE,FALSE
122,33,Nigeria,SoundCloud,Free,Classical,Travis Scott,105,34,10,25.9,FALSE,Energetic,TRUE,TRUE
123,25,USA,YouTube Music,Student,Hip-Hop,BTS,246,74,5,37.7,FALSE,Chill,FALSE,FALSE
124,27,France,SoundCloud,Premium,Pop,SZA,28,8,8,6.8,FALSE,Happy,FALSE,FALSE
125,15,India,Apple Music,Free,R&B,Taylor Swift,162,51,10,33.4,TRUE,Sleep,FALSE,TRUE
126,30,France,Tidal,Student,Pop,Tyler the Creator,92,25,10,33.6,TRUE,Focus,FALSE,TRUE
127,26,India,Apple Music,Premium,Afrobeats,The Weeknd,302,92,8,38.9,TRUE,Sad,TRUE,FALSE
128,39,UK,Tidal,Free,Hip-Hop,Bad Bunny,25,1,9,27.6,FALSE,Sad,TRUE,FALSE
129,30,Japan,Apple Music,Premium,EDM,Dua Lipa,174,50,7,0,FALSE,Energetic,FALSE,TRUE
130,26,Canada,YouTube Music,Student,EDM,Billie Eilish,60,8,13,38.9,FALSE,Happy,FALSE,TRUE
131,39,Japan,Amazon Music,Family,Rock,Olivia Rodrigo,122,39,2,18.4,FALSE,Energetic,FALSE,FALSE
132,28,USA,Spotify,Free,Hip-Hop,Ariana Grande,146,39,9,25.9,TRUE,Sad,FALSE,FALSE
133,29,Canada,Spotify,Free,Rock,Taylor Swift,113,43,9,44.5,TRUE,Party,FALSE,FALSE
134,25,UK,Tidal,Free,Pop,Burna Boy,84,27,10,16.2,FALSE,Happy,FALSE,FALSE
135,23,Nigeria,YouTube Music,Free,Pop,Bad Bunny,209,62,12,21,TRUE,Sleep,TRUE,FALSE
136,24,Australia,Spotify,Free,Rock,SZA,277,66,11,15.7,TRUE,Happy,TRUE,TRUE
137,29,Australia,YouTube Music,Premium,Indie,Bad Bunny,50,13,7,30.2,FALSE,Workout,FALSE,FALSE
138,48,India,Amazon Music,Student,Indie,Kendrick Lamar,173,52,9,27,TRUE,Workout,TRUE,FALSE
139,24,Japan,YouTube Music,Family,Hip-Hop,Tyler the Creator,355,100,11,33,FALSE,Energetic,FALSE,TRUE
140,23,Australia,Spotify,Student,Indie,Olivia Rodrigo,194,54,13,61.9,FALSE,Focus,FALSE,TRUE
141,26,Japan,YouTube Music,Family,Jazz,Tyler the Creator,39,8,12,16.8,FALSE,Sad,FALSE,TRUE
142,34,USA,Spotify,Free,EDM,Burna Boy,96,26,12,32.2,TRUE,Sleep,FALSE,FALSE
143,23,Nigeria,Spotify,Free,Classical,Bad Bunny,56,13,9,36.4,TRUE,Sleep,FALSE,TRUE
144,32,Brazil,Spotify,Free,K-Pop,Kendrick Lamar,141,50,10,33.4,TRUE,Energetic,FALSE,FALSE
145,26,Japan,Spotify,Free,Pop,Travis Scott,73,26,9,31.9,TRUE,Sleep,FALSE,FALSE
146,24,UK,Amazon Music,Premium,Lo-fi,Bad Bunny,535,159,7,31.2,FALSE,Sleep,TRUE,TRUE
147,28,Canada,Spotify,Family,Indie,Bad Bunny,52,4,10,41,TRUE,Energetic,FALSE,TRUE
148,22,Japan,YouTube Music,Student,Pop,SZA,20,7,17,19.3,TRUE,Party,FALSE,TRUE
149,28,Brazil,SoundCloud,Free,K-Pop,Taylor Swift,76,11,11,23.6,TRUE,Sad,TRUE,TRUE
150,25,UK,Amazon Music,Free,Rock,Taylor Swift,172,57,7,36.2,FALSE,Sleep,TRUE,TRUE
151,31,Japan,Spotify,Family,Classical,SZA,124,38,9,27,FALSE,Sad,TRUE,FALSE
152,24,Germany,Spotify,Student,Hip-Hop,Burna Boy,75,28,9,28.9,TRUE,Focus,FALSE,TRUE
153,47,Nigeria,Apple Music,Premium,Hip-Hop,Burna Boy,248,65,7,34.1,TRUE,Workout,TRUE,FALSE
154,13,USA,Tidal,Family,Lo-fi,SZA,119,36,13,20.5,TRUE,Focus,FALSE,FALSE
155,36,UK,Spotify,Premium,Lo-fi,Drake,61,12,7,34.1,TRUE,Chill,TRUE,TRUE
156,22,Germany,Spotify,Family,Afrobeats,Bad Bunny,171,50,12,12,TRUE,Chill,TRUE,TRUE
157,28,Nigeria,Spotify,Free,EDM,BTS,105,26,6,43.6,TRUE,Workout,TRUE,TRUE
158,29,Germany,YouTube Music,Free,K-Pop,Kendrick Lamar,98,31,5,23.2,TRUE,Sad,FALSE,TRUE
159,32,Japan,Tidal,Premium,Hip-Hop,Taylor Swift,230,60,11,24.5,TRUE,Energetic,TRUE,FALSE
160,36,France,Spotify,Premium,Pop,The Weeknd,297,88,15,18.3,TRUE,Energetic,FALSE,FALSE
161,23,Japan,YouTube Music,Student,Lo-fi,Ariana Grande,169,47,9,27,TRUE,Chill,TRUE,TRUE
162,24,UK,Amazon Music,Free,Hip-Hop,Olivia Rodrigo,169,46,10,17.3,TRUE,Focus,FALSE,TRUE
163,20,Germany,YouTube Music,Family,Rock,Bad Bunny,319,90,9,55,TRUE,Sad,FALSE,FALSE
164,41,Brazil,Tidal,Family,Rock,The Weeknd,106,31,3,23.5,FALSE,Sad,FALSE,FALSE
165,18,Canada,Apple Music,Premium,Rock,Billie Eilish,84,20,7,41.7,FALSE,Focus,TRUE,FALSE
166,34,Germany,Amazon Music,Premium,Lo-fi,The Weeknd,74,30,10,39.2,FALSE,Energetic,FALSE,FALSE
167,19,UK,Spotify,Free,Pop,Burna Boy,192,61,8,41.2,TRUE,Happy,TRUE,FALSE
168,29,Germany,Spotify,Premium,EDM,Olivia Rodrigo,240,66,7,29.1,FALSE,Party,FALSE,FALSE
169,17,Brazil,Spotify,Free,Classical,Drake,117,27,9,8.5,TRUE,Sleep,TRUE,FALSE
170,17,France,Apple Music,Premium,Rock,The Weeknd,40,17,6,13.1,FALSE,Energetic,FALSE,TRUE
171,45,India,Spotify,Free,Afrobeats,BTS,160,41,8,41.9,TRUE,Workout,TRUE,TRUE
172,34,Australia,Spotify,Family,Hip-Hop,Drake,40,7,8,43.5,TRUE,Chill,FALSE,FALSE
173,24,Canada,SoundCloud,Premium,EDM,Bad Bunny,109,34,8,60.3,TRUE,Workout,FALSE,FALSE
174,37,India,Apple Music,Free,EDM,Dua Lipa,191,55,11,29.4,FALSE,Chill,FALSE,TRUE
175,40,Japan,YouTube Music,Premium,Hip-Hop,Ariana Grande,159,44,10,15.3,TRUE,Energetic,TRUE,TRUE
176,37,Canada,Tidal,Family,Pop,Tyler the Creator,42,11,6,26.5,TRUE,Happy,FALSE,FALSE
177,26,Australia,Spotify,Student,R&B,Dua Lipa,127,34,10,11.6,FALSE,Chill,TRUE,TRUE
178,22,Germany,Spotify,Premium,Pop,Bad Bunny,35,11,7,22.6,TRUE,Energetic,TRUE,TRUE
179,32,Canada,SoundCloud,Free,Hip-Hop,Ariana Grande,167,52,12,35.3,FALSE,Happy,FALSE,FALSE
180,20,Brazil,Apple Music,Free,Pop,Billie Eilish,72,20,6,15.2,TRUE,Happy,TRUE,FALSE
181,20,Japan,Tidal,Free,Jazz,Drake,263,75,5,19.8,TRUE,Happy,TRUE,TRUE
182,40,India,Apple Music,Free,R&B,Billie Eilish,116,42,9,44.4,FALSE,Sleep,TRUE,FALSE
183,13,Canada,Spotify,Student,Hip-Hop,Ariana Grande,139,42,10,31.8,TRUE,Party,FALSE,TRUE
184,43,Australia,YouTube Music,Free,Pop,Dua Lipa,200,61,12,37.2,FALSE,Energetic,FALSE,FALSE
185,25,Germany,Spotify,Free,Lo-fi,Drake,118,28,10,28.7,TRUE,Happy,TRUE,FALSE
186,39,France,Spotify,Family,Pop,Taylor Swift,209,69,9,27.4,FALSE,Happy,TRUE,TRUE
187,31,Japan,Spotify,Premium,Indie,Kendrick Lamar,281,78,9,23.2,TRUE,Sad,TRUE,FALSE
188,31,India,YouTube Music,Premium,Hip-Hop,Travis Scott,173,48,11,15.1,FALSE,Workout,FALSE,TRUE
189,33,France,Spotify,Free,Hip-Hop,Kendrick Lamar,422,118,18,29.3,TRUE,Party,TRUE,FALSE
190,25,Germany,Apple Music,Free,Rock,Taylor Swift,189,58,14,41,TRUE,Chill,TRUE,TRUE
191,30,USA,Spotify,Free,Pop,SZA,200,58,3,21.4,TRUE,Workout,FALSE,TRUE
192,20,France,SoundCloud,Premium,K-Pop,SZA,232,64,16,24.5,TRUE,Sad,FALSE,FALSE
193,38,Brazil,Spotify,Premium,Hip-Hop,Bad Bunny,107,39,7,45.7,TRUE,Happy,FALSE,TRUE
194,16,Brazil,Spotify,Family,Rock,Bad Bunny,128,40,5,4.8,TRUE,Energetic,TRUE,FALSE
195,40,India,SoundCloud,Premium,Rock,Dua Lipa,185,60,9,20.6,TRUE,Sad,FALSE,FALSE
196,23,Nigeria,SoundCloud,Premium,K-Pop,Burna Boy,255,77,7,18.8,FALSE,Workout,FALSE,FALSE
197,45,Germany,Spotify,Premium,R&B,Kendrick Lamar,169,46,8,26.6,TRUE,Focus,TRUE,FALSE
198,36,France,Apple Music,Family,Hip-Hop,Dua Lipa,133,44,9,14.7,TRUE,Energetic,TRUE,TRUE
199,25,USA,Spotify,Free,Country,The Weeknd,174,47,11,16.6,FALSE,Chill,FALSE,TRUE
200,22,India,YouTube Music,Premium,Country,Tyler the Creator,108,38,7,35.6,TRUE,Chill,FALSE,TRUE
201,18,Canada,Spotify,Premium,K-Pop,Travis Scott,62,23,12,38.4,FALSE,Happy,TRUE,FALSE
202,32,USA,Spotify,Free,K-Pop,Drake,20,7,8,42.3,TRUE,Sleep,FALSE,TRUE
203,43,Nigeria,Spotify,Student,Lo-fi,Burna Boy,151,40,7,11.5,TRUE,Workout,FALSE,TRUE
204,21,Japan,Amazon Music,Student,K-Pop,Taylor Swift,234,62,9,5.6,TRUE,Party,TRUE,FALSE
205,16,Brazil,Apple Music,Free,Lo-fi,Drake,110,31,8,29.3,TRUE,Chill,TRUE,FALSE
206,37,USA,Apple Music,Premium,Pop,Burna Boy,76,18,8,27.7,FALSE,Focus,FALSE,FALSE
207,32,Germany,Spotify,Family,Country,Taylor Swift,71,27,14,26.5,TRUE,Energetic,TRUE,FALSE
208,34,Nigeria,Apple Music,Free,Lo-fi,Kendrick Lamar,117,31,5,27.9,TRUE,Sleep,FALSE,TRUE
209,25,India,YouTube Music,Free,R&B,SZA,26,6,10,37.7,FALSE,Energetic,FALSE,TRUE
210,40,Canada,Spotify,Student,Lo-fi,Bad Bunny,109,31,5,0,TRUE,Party,TRUE,TRUE
211,13,Canada,Spotify,Free,Pop,Taylor Swift,148,45,4,30.6,TRUE,Chill,TRUE,TRUE
212,33,Brazil,YouTube Music,Student,Indie,Burna Boy,91,28,8,50.4,TRUE,Focus,FALSE,TRUE
213,31,USA,Apple Music,Premium,Hip-Hop,SZA,63,22,8,41.1,TRUE,Sleep,FALSE,FALSE
214,29,India,YouTube Music,Premium,Classical,Drake,78,20,13,34.7,TRUE,Sad,FALSE,TRUE
215,13,USA,Amazon Music,Premium,Indie,Bad Bunny,135,42,5,25.7,FALSE,Energetic,FALSE,TRUE
216,33,UK,SoundCloud,Family,R&B,Billie Eilish,113,31,6,25.5,TRUE,Chill,TRUE,TRUE
217,40,Australia,SoundCloud,Premium,R&B,Burna Boy,128,32,6,29.7,TRUE,Chill,TRUE,FALSE
218,25,France,Spotify,Free,Hip-Hop,Billie Eilish,115,28,9,29.8,TRUE,Sad,FALSE,TRUE
219,31,USA,Spotify,Premium,Pop,Billie Eilish,86,16,9,35,FALSE,Focus,FALSE,FALSE
220,29,Japan,Spotify,Student,Afrobeats,Drake,145,36,8,46.8,TRUE,Sleep,TRUE,FALSE
221,36,Japan,Spotify,Family,Lo-fi,BTS,43,14,7,43.3,FALSE,Sleep,TRUE,FALSE
222,25,France,Tidal,Family,Pop,SZA,60,20,10,33.7,TRUE,Chill,FALSE,FALSE
223,28,USA,Spotify,Free,Indie,Olivia Rodrigo,102,27,13,40.5,TRUE,Party,FALSE,FALSE
224,17,France,Spotify,Family,Country,The Weeknd,168,40,12,11.5,FALSE,Sleep,TRUE,TRUE
225,14,Japan,Spotify,Free,Hip-Hop,Travis Scott,49,16,6,20.8,TRUE,Sad,FALSE,FALSE
226,23,Canada,YouTube Music,Family,Hip-Hop,The Weeknd,122,22,17,33.5,FALSE,Sad,FALSE,FALSE
227,19,Germany,Apple Music,Free,K-Pop,Dua Lipa,83,22,11,13.1,TRUE,Chill,FALSE,TRUE
228,31,Australia,YouTube Music,Student,K-Pop,Drake,63,15,5,33,FALSE,Focus,TRUE,TRUE
229,15,Brazil,Amazon Music,Premium,Rock,Olivia Rodrigo,140,37,8,27.2,FALSE,Happy,TRUE,FALSE
230,38,UK,Spotify,Premium,EDM,Drake,131,40,9,10.1,FALSE,Workout,FALSE,TRUE
231,34,Germany,Apple Music,Family,K-Pop,Taylor Swift,103,29,4,14.5,FALSE,Sleep,FALSE,TRUE
232,44,Nigeria,Spotify,Family,Country,Kendrick Lamar,199,53,9,32.8,TRUE,Party,FALSE,FALSE
233,24,Brazil,Spotify,Student,Rock,Drake,233,68,7,39.7,TRUE,Chill,TRUE,TRUE
234,32,Canada,Apple Music,Student,Pop,SZA,166,42,8,26.1,TRUE,Happy,FALSE,TRUE
235,38,Canada,Spotify,Free,Afrobeats,Drake,69,17,13,27.9,FALSE,Workout,TRUE,TRUE
236,37,Canada,Spotify,Premium,EDM,Dua Lipa,307,90,9,23.4,TRUE,Sad,FALSE,FALSE
237,29,USA,YouTube Music,Premium,EDM,Kendrick Lamar,284,85,6,10.3,FALSE,Energetic,FALSE,TRUE
